System Time, Gateway Ticks, CFO (MHz), SFO (KHz), RSSI (dB), Raw Decoded Data, Chip ID, Packet Type, Battery %, Temp, Humidity, Motion Count, Serial Number
01-01-1970 16:18:10.134, 3120850848587, 905.840625, 475.391083, 73.430749, 0x237d85000001161824220040, 0x1618, Serial Number, 0.000000, 0.000000, 0.000000, 606208064, 606208064
01-01-1970 16:18:11.943, 3121022676735, 904.278125, 475.391083, 73.353448, 0x237d85000001161824220040, 0x1618, Serial Number, 0.000000, 0.000000, 0.000000, 606208064, 606208064
01-01-1970 16:18:12.920, 3121118669510, 905.840625, 475.391083, 72.866380, 0x3cde95691020dc1254ca6583, 0xdc12, Operation Stopped, 2.132215, 0.000000, 0.000000, 1422550403, 1422550403
01-01-1970 16:18:16.543, 3121491393624, 904.219531, 476.318061, 70.292252, 0xa99ba5070410155a0818d9f0, 0x155a, Serial Number, 0.000000, 0.000000, 0.000000, 135846384, 135846384
01-01-1970 16:18:17.685, 3121586962828, 905.606250, 475.391083, 57.384940, 0x1824b5823bfc6840444abdc9, 0x6840, Serial Number, 0.000000, 0.000000, 0.000000, 1145748937, 1145748937
01-01-1970 16:18:18.840, 3121710118059, 904.180469, 476.318061, 65.659368, 0x1824b5823bfc6840444abdc9, 0x6840, Serial Number, 0.000000, 0.000000, 0.000000, 1145748937, 1145748937
01-01-1970 16:18:28.503, 3122676196575, 914.004688, 475.854121, 50.803322, 0x932ef510220dc5086c093dfd, 0xc508, Check-in, 1.296735, -2.624552, 42.201878, 1812545021, 1812545021
01-01-1970 16:18:49.931, 3124815004353, 914.004688, 474.928946, 50.360097, 0x57748500ec867dc74823302d, 0x7dc7, Serial Number, 0.000000, 0.000000, 0.000000, 1210265645, 1210265645
01-01-1970 16:18:59.327, 3125762821235, 914.004688, 475.854121, 50.972522, 0xddabc50b88a86880647b8005, 0x6880, Serial Number, 0.000000, 0.000000, 0.000000, 1685815301, 1685815301
01-01-1970 16:19:04.146, 3126239079840, 914.004688, 475.854121, 51.376390, 0xd99ee50008415b01c1500084, 0x5b01, Serial Number, 0.000000, 0.000000, 0.000000, 3243245700, 3243245700
01-01-1970 16:28:43.322, 3184156092647, 905.840625, 475.854121, 73.469906, 0xb1ab01515400058d04ddffff, 0x058d, Operation Started, 317.700012, 0.000000, 0.000000, 81657855, 81657855
01-01-1970 16:28:44.568, 3184278279193, 904.297656, 474.464189, 71.191193, 0xb1ab01515400058d04ddffff, 0x058d, Operation Started, 317.700012, 0.000000, 0.000000, 81657855, 81657855
01-01-1970 16:39:08.523, 3246674115651, 905.821094, 475.391083, 73.473595, 0x025702525400058c04fa17ff, 0x058c, Operation Started, 158.850006, 0.000000, 0.000000, 83499007, 83499007
01-01-1970 16:49:48.468, 3310671864705, 905.801563, 475.854121, 71.233259, 0x80c203535400058b0516dfff, 0x058b, Operation Started, 105.900002, 0.000000, 0.000000, 85385215, 85385215
01-01-1970 16:49:49.778, 3310794481035, 904.278125, 474.928946, 73.457675, 0x80c203535400058b0516dfff, 0x058b, Operation Started, 105.900002, 0.000000, 0.000000, 85385215, 85385215
01-01-1970 17:00:20.954, 3373918609564, 905.840625, 474.464189, 73.409915, 0xa16004545400058b05334fff, 0x058b, Operation Started, 79.425003, 0.000000, 0.000000, 87248895, 87248895
01-01-1970 17:10:53.712, 3437188177246, 905.840625, 475.391083, 73.377131, 0x1e9705555400058b054fbfff, 0x058b, Operation Started, 63.540001, 0.000000, 0.000000, 89112575, 89112575
01-01-1970 17:10:55.288, 3437334613432, 904.278125, 474.928946, 73.379572, 0x1e9705555400058b054fbfff, 0x058b, Operation Started, 63.540001, 0.000000, 0.000000, 89112575, 89112575
01-01-1970 17:21:26.215, 3500458514568, 905.860156, 476.318061, 69.708853, 0x237d85000001161824220040, 0x1618, Serial Number, 0.000000, 0.000000, 0.000000, 606208064, 606208064
01-01-1970 17:21:27.582, 3500594799190, 904.180469, 476.318061, 64.935989, 0x237d85000001161824220040, 0x1618, Serial Number, 0.000000, 0.000000, 0.000000, 606208064, 606208064
01-01-1970 17:21:28.823, 3500702553998, 905.840625, 475.391083, 73.296061, 0x3cde95691020dc1254ca6583, 0xdc12, Operation Stopped, 2.132215, 0.000000, 0.000000, 1422550403, 1422550403
01-01-1970 17:21:30.465, 3500840212373, 904.180469, 475.854121, 64.943269, 0x3cde95691020dc1254ca6583, 0xdc12, Operation Stopped, 2.132215, 0.000000, 0.000000, 1422550403, 1422550403
01-01-1970 17:21:31.301, 3500948845265, 905.645313, 475.391083, 57.638289, 0xa99ba5070410155a0818d9f0, 0x155a, Serial Number, 0.000000, 0.000000, 0.000000, 135846384, 135846384
01-01-1970 17:21:32.602, 3501095443378, 904.278125, 475.391083, 72.992826, 0xa99ba5070410155a0818d9f0, 0x155a, Serial Number, 0.000000, 0.000000, 0.000000, 135846384, 135846384
01-01-1970 17:21:49.274, 3502758883180, 903.789844, 474.928946, 50.323007, 0x611295de41680c1cb2096e15, 0x0c1c, Serial Number, 0.000000, 0.000000, 0.000000, 2986962453, 2986962453
01-01-1970 17:31:58.612, 3563696057104, 905.860156, 476.318061, 70.742341, 0x82fe01575400058a05889fff, 0x058a, Operation Started, 317.700012, 0.000000, 0.000000, 92839935, 92839935
01-01-1970 17:32:00.271, 3563840629717, 904.180469, 475.391083, 65.092934, 0x82fe01575400058a05889fff, 0x058a, Operation Started, 317.700012, 0.000000, 0.000000, 92839935, 92839935
01-01-1970 17:42:32.939, 3627130017137, 904.180469, 476.318061, 64.995509, 0x72e602585400058905a50fff, 0x0589, Operation Started, 158.850006, 0.000000, 0.000000, 94703615, 94703615
01-01-1970 17:53:03.902, 3690214696895, 905.762500, 475.854121, 68.639759, 0x8ead03595400057805c17fff, 0x0578, Operation Started, 105.900002, 0.000000, 0.000000, 96567295, 96567295
01-01-1970 17:53:05.431, 3690363047064, 913.985156, 474.928946, 70.156345, 0x8ead03595400057805c17fff, 0x0578, Operation Started, 105.900002, 0.000000, 0.000000, 96567295, 96567295
01-01-1970 18:01:41.587, 3741991621763, 899.356250, 474.000341, 59.385288, 0x1e7b006000014d8d0057004e, 0x4d8d, Operation Stopped, inf, 0.000000, 0.000000, 5701710, 5701710
01-01-1970 18:01:44.473, 3742230961818, 897.696094, 472.610731, 68.776604, 0x1e7b006000014d8d0057004e, 0x4d8d, Operation Stopped, inf, 0.000000, 0.000000, 5701710, 5701710
01-01-1970 18:03:29.381, 3752768228124, 915.567188, 476.318061, 53.010244, 0x2cd3045a5400056205dd9fff, 0x0562, Operation Started, 79.425003, 0.000000, 0.000000, 98410495, 98410495
01-01-1970 00:01:39.113, 4006481043, 899.367, 473.502, 69.4151, 0x941000600001547f0058504e, 0x547f, Operation Stopped, inf, 0, 0, 5787726, 5787726
01-01-1970 00:01:41.297, 4218952465, 917.668, 473.965, 67.6297, 0x941000600001547f0058504e, 0x547f, Operation Stopped, inf, 0, 0, 5787726, 5787726
01-01-1970 00:04:03.539, 18438145360, 898.41, 473.965, 58.2743, 0x237d85000001161824220040, 0x1618, Serial Number, 0, 0, 0, 606208064, 606208064
01-01-1970 00:04:05.652, 18599358525, 898.469, 474.89, 64.6403, 0x237d85000001161824220040, 0x1618, Serial Number, 0, 0, 0, 606208064, 606208064
01-01-1970 00:04:09.517, 19045137808, 904.543, 474.89, 72.4429, 0xa99ba5070410155a0818d9f0, 0x155a, Serial Number, 0, 0, 0, 135846384, 135846384
01-01-1970 00:04:10.578, 19152434354, 906.047, 475.352, 71.9246, 0x1824b5823bfc6840444abdc9, 0x6840, Serial Number, 0, 0, 0, 1145748937, 1145748937
01-01-1970 00:04:14.338, 19526492510, 903.996, 475.352, 50.427, 0xc866c50ffc11a4089201046f, 0xa408, Serial Number, 0, 0, 0, 2449540207, 2449540207
01-01-1970 00:04:19.536, 20054289684, 901.379, 475.352, 51.9465, 0x932ef510220dc5086c093dfd, 0xc508, Check-in, 1.29673, -2.62455, 42.2019, 1812545021, 1812545021
01-01-1970 00:04:24.591, 20538533784, 901.379, 474.426, 51.6261, 0x611295de41680c1cb2096e15, 0x0c1c, Serial Number, 0, 0, 0, 2986962453, 2986962453
01-01-1970 00:04:35.586, 21588892018, 903.977, 475.812, 51.6436, 0xa541d5485c98009a750afe43, 0x009a, Radio Test, 1.49155, 0, 0, 1963654723, 1963654723
