Latitude, Longitude
42.3,-83.7
42.4,-83.8
37.7,-122.2
23,120.2
42.7,-84.5
38.9,-84.1
32.7,-97.4
40.4,-74.1
42.2,-87.8
41.4,-81.9
42.6,-83.6
40,-84.2
45.1,-92.9
41.8,-88.3
42.5,-83.1
41.9,-88
40.8,-74.2
42.4,-85.7
43,-87.9
44.8,-93.6
37.1,-93.2
41.8,-88.1
38.6,-90.5
38.9,-95.3
35.8,-81.2
38.9,-92.4
41.4,-72.9
45.1,-93
45.5,-122.6
41.8,-88.2
28.7,-100.5
43.9,-91.2
44.6,-93.9
41,-73.8
43,-71.8
38.8,-90.7
42.4,-83.4
41.8,-91.6
35.3,-97.6
43.1,-88.4
45.4,-73.8
42.2,-83.7
30.4,-87.2
42.6,-83.9
42.8,-82.9
43.6,-79.4
44.9,-93.2
39,-94.6
36.1,-94.2
32.6,-92.3
42.9,-82.9
40.8,-73.8
39.6,-89.7
38.8,-94.9
42.4,-83.5
42.2,-85.8
28.1,-82.4
41.7,-87
39,-94.5
44.3,-92
44.6,-92.6
44.4,-92
42.5,-83.2
45.4,-73.9
41.7,-86.9
42.7,-84.4
