station_id,lat,lon,source,reports,country
SMWN2,36.194,-115.381,madis,subhourly,US
SMWT2,29.708,-95.392,madis,subhourly,US
SMXC1,33.147,-117.196,madis,subhourly,US
SMXC2,38.042,-108.132,madis,subhourly,US
SMYC,36.318,-115.584,madis,subhourly,US
SMYI1,45.15,-113.945,madis,subhourly,US
SMYI4,43.151,-93.169,madis,subhourly,US
SMYW2,39.376,-81.186,madis,subhourly,US
SN001,34.772,-106.763,madis,subhourly,US
SNBT2,31.218,-98.564,madis,subhourly,US
SNC,40.66,-111.515,madis,subhourly,US
SNCA2,61.348,-142.71,madis,subhourly,US
SNCC1,33.993,-119.716,madis,subhourly,US
SNCN6,42.253,-79.271,madis,subhourly,US
SND,40.368,-111.594,madis,subhourly,US
SNDA2,55.337,-160.502,madis,subhourly,US
SNDF1,30.07,-84.592,madis,subhourly,US
SNDM5,46.113,-92.994,madis,subhourly,US
SNDN5,32.58,-106.525,madis,subhourly,US
SNDP1,40.768,-77.617,madis,subhourly,US
SNDP5,28.212,-177.36,madis,subhourly,US
SNDT2,30.547,-98.544,madis,subhourly,US
SNEA2,58.142,-133.727,madis,subhourly,US
SNFEC,41.359,-111.904,madis,subhourly,US
SNFM6,33.529,-90.439,madis,subhourly,US
SNFW1,48.272,-121.888,madis,subhourly,US
SNGN8,46.467,-97.317,madis,subhourly,US
SNHW2,37.646,-81.928,madis,subhourly,US
SNI,41.2,-111.859,madis,subhourly,US
SNIA2,60.61,-154.32,madis,subhourly,US
SNIW4,42.495,-110.532,madis,subhourly,US
SNKC1,34.019,-117.73,madis,subhourly,US
SNKG1,33.529,-84.928,madis,subhourly,US
SNKWY,43.463,-110.763,madis,subhourly,US
SNLN5,35.23,-106.591,madis,subhourly,US
SNLO1,39.925,-81.435,madis,subhourly,US
SNLP1,41.349,-80.086,madis,subhourly,US
SNLW4,41.463,-106.281,madis,subhourly,US
SNM,40.374,-111.594,madis,subhourly,US
SNMP1,41.002,-77.131,madis,subhourly,US
SNNT1,35.161,-88.24,madis,subhourly,US
SNNW4,44.517,-104.436,madis,subhourly,US
SNO30,47.425,-121.414,madis,subhourly,US
SNO38,47.42,-121.428,madis,subhourly,US
SNOA2,60.295,-149.344,madis,subhourly,US
SNOW4,41.417,-109.036,madis,subhourly,US
SNPA2,57.158,-170.212,madis,subhourly,US
SNPC1,33.7,-117.533,madis,subhourly,US
SNPT2,29.322,-98.45,madis,subhourly,US
SNRC1,35.796,-120.883,madis,subhourly,US
SNRW2,38.808,-81.06,madis,subhourly,US
SNSI1,47.555,-115.824,madis,subhourly,US
SNSLP,48.255,-113.502,madis,subhourly,US
SNTA2,55.347,-160.466,madis,subhourly,US
SNV,40.615,-111.511,madis,subhourly,US
