"03-28-18_data_table_logger_20288025"
"Seconds past 5:00:00 AM","Intensity, Lux","log10(Intensity+1)"
0, 0.44, 0.158362
10, 0.44, 0.158362
20, 0.44, 0.158362
30, 0.44, 0.158362
40, 0.44, 0.158362
50, 0.44, 0.158362
60, 0.44, 0.158362
70, 0.44, 0.158362
80, 0.44, 0.158362
90, 0.44, 0.158362
100, 0.44, 0.158362
110, 0.44, 0.158362
120, 0.44, 0.158362
130, 0.44, 0.158362
140, 0.44, 0.158362
150, 0.44, 0.158362
160, 0.44, 0.158362
170, 0.44, 0.158362
180, 0.44, 0.158362
190, 0.44, 0.158362
200, 0.44, 0.158362
210, 0.44, 0.158362
220, 0.44, 0.158362
230, 0.44, 0.158362
240, 0.44, 0.158362
250, 0.44, 0.158362
260, 0.44, 0.158362
270, 0.44, 0.158362
280, 0.44, 0.158362
290, 0.44, 0.158362
300, 0.44, 0.158362
310, 0.44, 0.158362
320, 0.44, 0.158362
330, 0.44, 0.158362
340, 0.44, 0.158362
350, 0.44, 0.158362
360, 0.44, 0.158362
370, 0.44, 0.158362
380, 0.44, 0.158362
390, 0.44, 0.158362
400, 0.44, 0.158362
410, 0.44, 0.158362
420, 0.44, 0.158362
430, 0.44, 0.158362
440, 0.44, 0.158362
450, 0.44, 0.158362
460, 0.44, 0.158362
470, 0.44, 0.158362
480, 0.44, 0.158362
490, 0.44, 0.158362
500, 0.44, 0.158362
510, 0.44, 0.158362
520, 0.44, 0.158362
530, 0.44, 0.158362
540, 0.44, 0.158362
550, 0.44, 0.158362
560, 0.44, 0.158362
570, 0.44, 0.158362
580, 0.44, 0.158362
590, 0.44, 0.158362
600, 0.44, 0.158362
610, 0.44, 0.158362
620, 0.44, 0.158362
630, 0.44, 0.158362
640, 0.44, 0.158362
650, 0.44, 0.158362
660, 0.44, 0.158362
670, 0.44, 0.158362
680, 0.44, 0.158362
690, 0.44, 0.158362
700, 0.44, 0.158362
710, 0.44, 0.158362
720, 0.44, 0.158362
730, 0.44, 0.158362
740, 0.44, 0.158362
750, 0.44, 0.158362
760, 0.44, 0.158362
770, 0.44, 0.158362
