"  NO.",DateTime,¢XC,%RH,hPa,DP,¢XF
"  1","2019-09-04 17:55:19",25.2,64.7,985.5,18.1,77.4
"  2","2019-09-04 17:55:34",25.3,65.7,985.6,18.4,77.5
"  3","2019-09-04 17:55:49",25.4,61.7,985.5,17.5,77.7
"  4","2019-09-04 17:56:04",25.5,61.8,985.6,17.6,77.9
"  5","2019-09-04 17:56:19",25.6,60.1,985.4,17.3,78.1
"  6","2019-09-04 17:56:34",25.7,58.9,985.4,17.1,78.3
"  7","2019-09-04 17:56:49",25.7,58.3,985.5,16.9,78.3
"  8","2019-09-04 17:57:04",25.8,57.8,985.6,16.9,78.4
"  9","2019-09-04 17:57:19",25.7,57.7,985.4,16.7,78.3
"  10","2019-09-04 17:57:34",25.7,57.6,985.4,16.7,78.3
"  11","2019-09-04 17:57:49",25.7,57.4,985.5,16.7,78.3
"  12","2019-09-04 17:58:04",25.6,57.3,985.5,16.5,78.1
"  13","2019-09-04 17:58:19",25.5,57.3,985.5,16.4,77.9
"  14","2019-09-04 17:58:34",25.5,57.3,985.5,16.4,77.9
"  15","2019-09-04 17:58:49",25.4,57.4,985.5,16.4,77.7
"  16","2019-09-04 17:59:04",25.3,57.5,985.6,16.3,77.5
"  17","2019-09-04 17:59:19",25.3,57.7,985.4,16.4,77.5
"  18","2019-09-04 17:59:34",25.2,58.4,985.4,16.5,77.4
"  19","2019-09-04 17:59:49",25.1,59.0,985.5,16.5,77.2
"  20","2019-09-04 18:00:04",25.1,59.5,985.5,16.7,77.2
"  21","2019-09-04 18:00:19",25.0,59.7,985.6,16.6,77.0
"  22","2019-09-04 18:00:34",25.0,59.8,985.6,16.6,77.0
"  23","2019-09-04 18:00:49",24.9,59.9,985.5,16.6,76.8
"  24","2019-09-04 18:01:04",24.9,60.4,985.6,16.7,76.8
"  25","2019-09-04 18:01:19",24.8,60.2,985.4,16.6,76.6
"  26","2019-09-04 18:01:34",24.8,60.6,985.4,16.7,76.6
"  27","2019-09-04 18:01:49",24.8,60.4,985.5,16.6,76.6
"  28","2019-09-04 18:02:04",24.7,59.8,985.5,16.4,76.5
"  29","2019-09-04 18:02:19",24.7,59.5,985.6,16.3,76.5
"  30","2019-09-04 18:02:34",24.6,59.5,985.5,16.2,76.3
"  31","2019-09-04 18:02:49",24.6,59.7,985.6,16.2,76.3
"  32","2019-09-04 18:03:04",24.6,59.8,985.6,16.3,76.3
"  33","2019-09-04 18:03:19",24.5,59.8,985.5,16.2,76.1
"  34","2019-09-04 18:03:34",24.5,59.8,985.4,16.2,76.1
"  35","2019-09-04 18:03:49",24.5,59.7,985.5,16.1,76.1
"  36","2019-09-04 18:04:04",24.4,59.8,985.6,16.1,75.9
"  37","2019-09-04 18:04:19",24.4,59.8,985.6,16.1,75.9
"  38","2019-09-04 18:04:34",24.3,59.9,985.7,16.0,75.7
"  39","2019-09-04 18:04:49",24.3,59.8,985.6,16.0,75.7
"  40","2019-09-04 18:05:04",24.3,59.8,985.5,16.0,75.7
"  41","2019-09-04 18:05:19",24.2,59.8,985.7,15.9,75.6
"  42","2019-09-04 18:05:34",24.2,59.8,985.6,15.9,75.6
"  43","2019-09-04 18:05:49",24.2,59.7,985.5,15.9,75.6
"  44","2019-09-04 18:06:04",24.2,59.6,985.6,15.8,75.6
"  45","2019-09-04 18:06:19",24.1,59.6,985.6,15.7,75.4
"  46","2019-09-04 18:06:34",24.1,59.5,985.6,15.7,75.4
"  47","2019-09-04 18:06:49",24.1,59.5,985.7,15.7,75.4
"  48","2019-09-04 18:07:04",24.0,59.5,985.6,15.6,75.2
"  49","2019-09-04 18:07:19",24.0,59.4,985.6,15.6,75.2
"  50","2019-09-04 18:07:34",24.0,59.3,985.6,15.6,75.2
"  51","2019-09-04 18:07:49",24.0,59.2,985.6,15.5,75.2
"  52","2019-09-04 18:08:04",23.9,59.1,985.5,15.4,75.0
"  53","2019-09-04 18:08:19",23.9,59.0,985.6,15.4,75.0
"  54","2019-09-04 18:08:34",23.9,58.9,985.6,15.4,75.0
"  55","2019-09-04 18:08:49",23.9,58.8,985.6,15.3,75.0
"  56","2019-09-04 18:09:04",23.9,58.7,985.6,15.3,75.0
"  57","2019-09-04 18:09:19",23.8,58.7,985.6,15.2,74.8
"  58","2019-09-04 18:09:34",23.8,58.6,985.8,15.2,74.8
"  59","2019-09-04 18:09:49",23.8,58.5,985.5,15.2,74.8
"  60","2019-09-04 18:10:04",23.8,58.5,985.6,15.2,74.8
"  61","2019-09-04 18:10:19",23.7,58.5,985.6,15.1,74.7
"  62","2019-09-04 18:10:34",23.7,58.1,985.6,15.0,74.7
"  63","2019-09-04 18:10:49",23.7,58.1,985.6,15.0,74.7
"  64","2019-09-04 18:11:04",23.7,58.2,985.7,15.0,74.7
"  65","2019-09-04 18:11:19",23.7,58.2,985.6,15.0,74.7
"  66","2019-09-04 18:11:34",23.6,58.0,985.5,14.9,74.5
"  67","2019-09-04 18:11:49",23.6,57.8,985.6,14.8,74.5
"  68","2019-09-04 18:12:04",23.6,58.0,985.7,14.9,74.5
"  69","2019-09-04 18:12:19",23.6,58.0,985.6,14.9,74.5
"  70","2019-09-04 18:12:34",23.6,58.0,985.6,14.9,74.5
"  71","2019-09-04 18:12:49",23.6,58.0,985.6,14.9,74.5
"  72","2019-09-04 18:13:04",23.5,58.1,985.6,14.8,74.3
"  73","2019-09-04 18:13:19",23.5,58.2,985.7,14.8,74.3
"  74","2019-09-04 18:13:34",23.5,58.3,985.6,14.8,74.3
"  75","2019-09-04 18:13:49",23.5,58.5,985.5,14.9,74.3
"  76","2019-09-04 18:14:04",23.5,58.6,985.7,14.9,74.3
"  77","2019-09-04 18:14:19",23.5,58.7,985.7,14.9,74.3
"  78","2019-09-04 18:14:34",23.4,58.7,985.6,14.9,74.1
"  79","2019-09-04 18:14:49",23.4,58.8,985.7,14.9,74.1
"  80","2019-09-04 18:15:04",23.4,58.8,985.6,14.9,74.1
"  81","2019-09-04 18:15:19",23.4,58.8,985.6,14.9,74.1
"  82","2019-09-04 18:15:34",23.4,58.9,985.6,14.9,74.1
"  83","2019-09-04 18:15:49",23.4,58.9,985.7,14.9,74.1
"  84","2019-09-04 18:16:04",23.4,58.9,985.7,14.9,74.1
"  85","2019-09-04 18:16:19",23.4,58.9,985.5,14.9,74.1
"  86","2019-09-04 18:16:34",23.4,58.9,985.6,14.9,74.1
"  87","2019-09-04 18:16:49",23.4,58.9,985.6,14.9,74.1
"  88","2019-09-04 18:17:04",23.4,59.0,985.6,14.9,74.1
"  89","2019-09-04 18:17:19",23.4,59.0,985.5,14.9,74.1
"  90","2019-09-04 18:17:34",23.3,59.0,985.6,14.8,73.9
"  91","2019-09-04 18:17:49",23.3,59.1,985.6,14.9,73.9
"  92","2019-09-04 18:18:04",23.3,59.1,985.6,14.9,73.9
"  93","2019-09-04 18:18:19",23.3,59.2,985.6,14.9,73.9
"  94","2019-09-04 18:18:34",23.3,59.2,985.6,14.9,73.9
"  95","2019-09-04 18:18:49",23.3,59.2,985.6,14.9,73.9
"  96","2019-09-04 18:19:04",23.3,59.3,985.6,14.9,73.9
"  97","2019-09-04 18:19:19",23.3,59.3,985.5,14.9,73.9
"  98","2019-09-04 18:19:34",23.3,59.4,985.5,14.9,73.9
"  99","2019-09-04 18:19:49",23.3,59.4,985.5,14.9,73.9
"  100","2019-09-04 18:20:04",23.3,59.5,985.5,15.0,73.9
"  101","2019-09-04 18:20:19",23.3,59.5,985.6,15.0,73.9
"  102","2019-09-04 18:20:34",23.3,59.6,985.6,15.0,73.9
"  103","2019-09-04 18:20:49",23.3,59.7,985.6,15.0,73.9
"  104","2019-09-04 18:21:04",23.3,59.7,985.6,15.0,73.9
"  105","2019-09-04 18:21:19",23.3,59.8,985.7,15.0,73.9
"  106","2019-09-04 18:21:34",23.3,59.8,985.6,15.0,73.9
"  107","2019-09-04 18:21:49",23.3,59.8,985.6,15.0,73.9
"  108","2019-09-04 18:22:04",23.3,59.8,985.7,15.0,73.9
"  109","2019-09-04 18:22:19",23.3,59.9,985.7,15.1,73.9
"  110","2019-09-04 18:22:34",23.3,59.9,985.7,15.1,73.9
"  111","2019-09-04 18:22:49",23.3,59.9,985.6,15.1,73.9
