"04-23-18_data_table_logger_20288025"
"Seconds past 5:00:00 AM","Intensity, Lux","log10(Intensity+1)"
0,0.0519448,0.0863598
10,0.0519448,0.0863598
20,0.0519448,0.0863598
30,0.0519448,0.0863598
40,0.0519448,0.0863598
50,0.0519448,0.0863598
60,0.0519448,0.0863598
70,0.0519448,0.0863598
80,0.0519448,0.0863598
90,0.0519448,0.0863598
100,0.0519448,0.0863598
110,0.0519448,0.0863598
120,0.0519448,0.0863598
130,0.0519448,0.0863598
140,0.0519448,0.0863598
150,0.0519448,0.0863598
160,0.0519448,0.0863598
170,0.0519448,0.0863598
180,0.0519448,0.0863598
190,0.10389,0.158362
200,0.10389,0.158362
210,0.10389,0.158362
220,0.10389,0.158362
230,0.10389,0.158362
240,0.10389,0.158362
250,0.10389,0.158362
260,0.0519448,0.0863598
270,0.0519448,0.0863598
280,0.0519448,0.0863598
290,0.0519448,0.0863598
300,0.0519448,0.0863598
310,0.0519448,0.0863598
320,0.0519448,0.0863598
330,0.0519448,0.0863598
340,0.0519448,0.0863598
350,0.0519448,0.0863598
360,0.0519448,0.0863598
370,0.0519448,0.0863598
380,0.0519448,0.0863598
390,0.0519448,0.0863598
400,0.0519448,0.0863598
410,0.0519448,0.0863598
420,0.0519448,0.0863598
430,0.0519448,0.0863598
440,0.0519448,0.0863598
450,0.0519448,0.0863598
460,0.0519448,0.0863598
470,0.0519448,0.0863598
480,0.0519448,0.0863598
490,0.0519448,0.0863598
500,0.10389,0.158362
510,0.10389,0.158362
520,0.10389,0.158362
530,0.10389,0.158362
540,0.10389,0.158362
550,0.10389,0.158362
560,0.10389,0.158362
570,0.0519448,0.0863598
580,0.0519448,0.0863598
590,0.0519448,0.0863598
600,0.0519448,0.0863598
610,0.0519448,0.0863598
620,0.0519448,0.0863598
630,0.0519448,0.0863598
640,0.0519448,0.0863598
650,0.0519448,0.0863598
660,0.0519448,0.0863598
670,0.0519448,0.0863598
680,0.0519448,0.0863598
690,0.0519448,0.0863598
700,0.0519448,0.0863598
710,0.0519448,0.0863598
720,0.0519448,0.0863598
730,0.0519448,0.0863598
740,0.0519448,0.0863598
750,0.0519448,0.0863598
760,0.0519448,0.0863598
770,0.0519448,0.0863598
780,0.0519448,0.0863598
790,0.0519448,0.0863598
800,0.0519448,0.0863598
810,0.0519448,0.0863598
820,0.10389,0.158362
830,0.10389,0.158362
840,0.10389,0.158362
850,0.10389,0.158362
860,0.10389,0.158362
870,0.10389,0.158362
880,0.0519448,0.0863598
890,0.0519448,0.0863598
900,0.0519448,0.0863598
910,0.0519448,0.0863598
920,0.0519448,0.0863598
930,0.0519448,0.0863598
940,0.0519448,0.0863598
950,0.0519448,0.0863598
960,0.0519448,0.0863598
970,0.0519448,0.0863598
980,0.0519448,0.0863598
990,0.0519448,0.0863598
1000,0.0519448,0.0863598
1010,0.0519448,0.0863598
1020,0.0519448,0.0863598
1030,0.0519448,0.0863598
1040,0.0519448,0.0863598
1050,0.0519448,0.0863598
1060,0.0519448,0.0863598
1070,0.0519448,0.0863598
1080,0.0519448,0.0863598
1090,0.0519448,0.0863598
1100,0.0519448,0.0863598
1110,0.0519448,0.0863598
1120,0.10389,0.158362
1130,0.10389,0.158362
1140,0.10389,0.158362
1150,0.10389,0.158362
1160,0.10389,0.158362
1170,0.10389,0.158362
1180,0.0519448,0.0863598
1190,0.0519448,0.0863598
1200,0.0519448,0.0863598
1210,0.0519448,0.0863598
1220,0.0519448,0.0863598
1230,0.0519448,0.0863598
1240,0.0519448,0.0863598
1250,0.0519448,0.0863598
1260,0.0519448,0.0863598
1270,0.0519448,0.0863598
1280,0.0519448,0.0863598
1290,0.0519448,0.0863598
1300,0.0519448,0.0863598
1310,0.0519448,0.0863598
1320,0.0519448,0.0863598
1330,0.0519448,0.0863598
1340,0.0519448,0.0863598
1350,0.0519448,0.0863598
1360,0.0519448,0.0863598
1370,0.0519448,0.0863598
1380,0.0519448,0.0863598
1390,0.0519448,0.0863598
1400,0.0519448,0.0863598
1410,0.0519448,0.0863598
1420,0.10389,0.158362
1430,0.10389,0.158362
1440,0.10389,0.158362
1450,0.10389,0.158362
1460,0.10389,0.158362
1470,0.10389,0.158362
1480,0.10389,0.158362
1490,0.10389,0.158362
1500,0.10389,0.158362
1510,0.10389,0.158362
1520,0.10389,0.158362
1530,0.0519448,0.0863598
1540,0.0519448,0.0863598
1550,0.0519448,0.0863598
1560,0.0519448,0.0863598
1570,0.0519448,0.0863598
1580,0.0519448,0.0863598
1590,0.0519448,0.0863598
1600,0.0519448,0.0863598
1610,0.0519448,0.0863598
1620,0.0519448,0.0863598
1630,0.0519448,0.0863598
1640,0.0519448,0.0863598
1650,0.0519448,0.0863598
1660,0.0519448,0.0863598
1670,0.0519448,0.0863598
1680,0.0519448,0.0863598
1690,0.0519448,0.0863598
1700,0.0519448,0.0863598
1710,0.0519448,0.0863598
1720,0.0519448,0.0863598
1730,0.0519448,0.0863598
1740,0.0519448,0.0863598
1750,0.0519448,0.0863598
1760,0.0519448,0.0863598
1770,0.10389,0.158362
1780,0.10389,0.158362
1790,0.10389,0.158362
1800,0.10389,0.158362
1810,0.10389,0.158362
1820,0.10389,0.158362
1830,0.10389,0.158362
1840,0.10389,0.158362
1850,0.10389,0.158362
1860,0.10389,0.158362
1870,0.10389,0.158362
1880,0.10389,0.158362
1890,0.0519448,0.0863598
1900,0.0519448,0.0863598
1910,0.0519448,0.0863598
1920,0.0519448,0.0863598
1930,0.0519448,0.0863598
1940,0.0519448,0.0863598
1950,0.0519448,0.0863598
1960,0.0519448,0.0863598
1970,0.0519448,0.0863598
1980,0.0519448,0.0863598
1990,0.0519448,0.0863598
2000,0.0519448,0.0863598
2010,0.0519448,0.0863598
2020,0.0519448,0.0863598
2030,0.0519448,0.0863598
2040,0.0519448,0.0863598
2050,0.0519448,0.0863598
2060,0.0519448,0.0863598
2070,0.0519448,0.0863598
2080,0.0519448,0.0863598
2090,0.0519448,0.0863598
2100,0.0519448,0.0863598
2110,0.0519448,0.0863598
2120,0.0519448,0.0863598
2130,0.0519448,0.0863598
2140,0.10389,0.158362
2150,0.10389,0.158362
2160,0.10389,0.158362
2170,0.10389,0.158362
2180,0.10389,0.158362
2190,0.10389,0.158362
2200,0.0519448,0.0863598
2210,0.0519448,0.0863598
2220,0.0519448,0.0863598
2230,0.0519448,0.0863598
2240,0.0519448,0.0863598
2250,0.0519448,0.0863598
2260,0.0519448,0.0863598
2270,0.0519448,0.0863598
2280,0.0519448,0.0863598
2290,0.0519448,0.0863598
2300,0.0519448,0.0863598
2310,0.0519448,0.0863598
2320,0.0519448,0.0863598
2330,0.0519448,0.0863598
2340,0.0519448,0.0863598
2350,0.0519448,0.0863598
2360,0.0519448,0.0863598
2370,0.0519448,0.0863598
2380,0.0519448,0.0863598
2390,0.0519448,0.0863598
2400,0.0519448,0.0863598
2410,0.0519448,0.0863598
2420,0.10389,0.158362
2430,0.10389,0.158362
2440,0.10389,0.158362
2450,0.10389,0.158362
2460,0.10389,0.158362
2470,0.10389,0.158362
2480,0.10389,0.158362
2490,0.10389,0.158362
2500,0.0519448,0.0863598
2510,0.0519448,0.0863598
2520,0.0519448,0.0863598
2530,0.0519448,0.0863598
2540,0.0519448,0.0863598
2550,0.0519448,0.0863598
2560,0.0519448,0.0863598
2570,0.0519448,0.0863598
2580,0.0519448,0.0863598
2590,0.0519448,0.0863598
2600,0.0519448,0.0863598
2610,0.0519448,0.0863598
2620,0.0519448,0.0863598
2630,0.10389,0.158362
2640,0.10389,0.158362
2650,0.10389,0.158362
2660,0.10389,0.158362
2670,0.10389,0.158362
2680,0.10389,0.158362
2690,0.10389,0.158362
2700,0.10389,0.158362
2710,0.10389,0.158362
2720,0.10389,0.158362
2730,0.10389,0.158362
2740,0.10389,0.158362
2750,0.10389,0.158362
2760,0.10389,0.158362
2770,0.10389,0.158362
2780,0.10389,0.158362
2790,0.10389,0.158362
2800,0.10389,0.158362
2810,0.10389,0.158362
2820,0.10389,0.158362
2830,0.10389,0.158362
2840,0.10389,0.158362
2850,0.10389,0.158362
2860,0.10389,0.158362
2870,0.10389,0.158362
2880,0.10389,0.158362
2890,0.10389,0.158362
2900,0.10389,0.158362
2910,0.10389,0.158362
2920,0.10389,0.158362
2930,0.10389,0.158362
2940,0.10389,0.158362
2950,0.10389,0.158362
2960,0.10389,0.158362
2970,0.10389,0.158362
2980,0.10389,0.158362
2990,0.10389,0.158362
3000,0.10389,0.158362
3010,0.10389,0.158362
3020,0.10389,0.158362
3030,0.10389,0.158362
3040,0.10389,0.158362
3050,0.10389,0.158362
3060,0.10389,0.158362
3070,0.10389,0.158362
3080,0.10389,0.158362
3090,0.10389,0.158362
3100,0.10389,0.158362
3110,0.10389,0.158362
3120,0.10389,0.158362
3130,0.10389,0.158362
3140,0.10389,0.158362
3150,0.10389,0.158362
3160,0.10389,0.158362
3170,0.10389,0.158362
3180,0.10389,0.158362
3190,0.10389,0.158362
3200,0.10389,0.158362
3210,0.10389,0.158362
3220,0.10389,0.158362
3230,0.10389,0.158362
3240,0.10389,0.158362
3250,0.10389,0.158362
3260,0.10389,0.158362
3270,0.10389,0.158362
3280,0.10389,0.158362
3290,0.10389,0.158362
3300,0.10389,0.158362
3310,0.10389,0.158362
3320,0.10389,0.158362
3330,0.10389,0.158362
3340,0.10389,0.158362
3350,0.10389,0.158362
3360,0.10389,0.158362
3370,0.10389,0.158362
3380,0.10389,0.158362
3390,0.10389,0.158362
3400,0.10389,0.158362
3410,0.10389,0.158362
3420,0.10389,0.158362
3430,0.10389,0.158362
3440,0.10389,0.158362
3450,0.10389,0.158362
3460,0.10389,0.158362
3470,0.10389,0.158362
3480,0.10389,0.158362
3490,0.158196,0.222716
3500,0.158196,0.222716
3510,0.158196,0.222716
3520,0.158196,0.222716
3530,0.158196,0.222716
3540,0.158196,0.222716
3550,0.158196,0.222716
3560,0.158196,0.222716
3570,0.158196,0.222716
3580,0.158196,0.222716
3590,0.158196,0.222716
3600,0.158196,0.222716
3610,0.158196,0.222716
3620,0.158196,0.222716
3630,0.158196,0.222716
3640,0.158196,0.222716
3650,0.158196,0.222716
3660,0.158196,0.222716
3670,0.158196,0.222716
3680,0.158196,0.222716
3690,0.158196,0.222716
3700,0.158196,0.222716
3710,0.158196,0.222716
3720,0.21014,0.276462
3730,0.21014,0.276462
3740,0.21014,0.276462
3750,0.21014,0.276462
3760,0.21014,0.276462
3770,0.21014,0.276462
3780,0.21014,0.276462
3790,0.21014,0.276462
3800,0.21014,0.276462
3810,0.21014,0.276462
3820,0.21014,0.276462
3830,0.21014,0.276462
3840,0.21014,0.276462
3850,0.262085,0.324282
3860,0.262085,0.324282
3870,0.262085,0.324282
3880,0.262085,0.324282
3890,0.262085,0.324282
3900,0.262085,0.324282
3910,0.262085,0.324282
3920,0.262085,0.324282
3930,0.262085,0.324282
3940,0.316391,0.369216
3950,0.316391,0.369216
3960,0.316391,0.369216
3970,0.316391,0.369216
3980,0.316391,0.369216
3990,0.316391,0.369216
4000,0.316391,0.369216
4010,0.368336,0.40824
4020,0.368336,0.40824
4030,0.368336,0.40824
4040,0.368336,0.40824
4050,0.368336,0.40824
4060,0.420281,0.444045
4070,0.420281,0.444045
4080,0.420281,0.444045
4090,0.420281,0.444045
4100,0.420281,0.444045
4110,0.474587,0.478566
4120,0.474587,0.478566
4130,0.474587,0.478566
4140,0.474587,0.478566
4150,0.526531,0.509203
4160,0.526531,0.509203
4170,0.526531,0.509203
4180,0.526531,0.509203
4190,0.580837,0.539076
4200,0.580837,0.539076
4210,0.580837,0.539076
4220,0.632782,0.565848
4230,0.632782,0.565848
4240,0.632782,0.565848
4250,0.684727,0.591065
4260,0.684727,0.591065
4270,0.739033,0.61595
4280,0.739033,0.61595
4290,0.739033,0.61595
4300,0.790978,0.638489
4310,0.790978,0.638489
4320,0.842922,0.659916
4330,0.842922,0.659916
4340,0.897228,0.681241
4350,0.897228,0.681241
4360,0.949173,0.700704
4370,0.949173,0.700704
4380,1.00348,0.720159
4390,1.00348,0.720159
4400,1.05542,0.737987
4410,1.10737,0.755112
4420,1.10737,0.755112
4430,1.16167,0.772322
4440,1.21362,0.788168
4450,1.21362,0.788168
4460,1.26556,0.803457
4470,1.31987,0.818885
4480,1.37181,0.833147
4490,1.42612,0.847573
4500,1.47807,0.860937
4510,1.53001,0.873902
4520,1.53001,0.873902
4530,1.58432,0.887054
4540,1.63626,0.899273
4550,1.68821,0.911158
4560,1.74251,0.923244
4570,1.84876,0.945961
4580,1.90071,0.956649
4590,1.95265,0.96708
4600,2.00696,0.977724
4610,2.0589,0.987666
4620,2.16515,1.00732
4630,2.11793,0.998695
4640,2.22418,1.01787
4650,2.27613,1.02694
4660,2.33043,1.03623
4670,2.43432,1.05346
4680,2.54057,1.07041
4690,2.59488,1.07882
4700,2.69877,1.09447
4710,2.80502,1.10992
4720,2.91127,1.12483
4730,3.01752,1.13925
4740,2.9703,1.1329
4750,3.07655,1.14706
4760,3.23474,1.16732
4770,3.341,1.18041
4780,3.44488,1.19285
4790,3.55114,1.2052
4800,3.70933,1.22298
4810,3.81558,1.23452
4820,3.97378,1.25115
4830,3.98086,1.25188
4840,4.13906,1.26788
4850,4.29725,1.2833
4860,4.45545,1.2982
4870,4.61364,1.3126
4880,4.77184,1.32654
4890,4.83323,1.33183
4900,5.04337,1.34947
4910,5.20156,1.36229
4920,5.41406,1.37894
4930,5.62421,1.3948
4940,5.73754,1.40312
4950,5.94768,1.41814
4960,6.16018,1.43281
4970,6.37032,1.44685
4980,6.63477,1.46389
4990,6.7481,1.471
5000,7.01255,1.48714
5010,7.17074,1.49651
5020,7.59339,1.52061
5030,7.85547,1.53491
5040,8.07506,1.54654
5050,8.39145,1.56277
5060,8.70784,1.57841
5070,8.82117,1.58388
5080,9.18951,1.60119
5090,9.46104,1.61352
5100,9.83173,1.62982
5110,10.1528,1.64345
5120,10.5779,1.66087
5130,10.899,1.67357
5140,11.2673,1.68771
5150,11.5931,1.69984
5160,12.0701,1.717
5170,12.4951,1.73175
5180,12.769,1.74099
5190,13.2979,1.75831
5200,13.7276,1.77188
5210,14.2518,1.78789
5220,14.6815,1.80058
5230,15.1112,1.81291
5240,15.5362,1.82478
5250,16.1643,1.84173
5260,16.5987,1.85309
5270,17.1276,1.86652
5280,17.6565,1.87955
5290,18.091,1.88997
5300,18.7237,1.90472
5310,19.3518,1.91887
5320,19.8807,1.93044
5330,20.3151,1.93972
5340,21.0613,1.95521
5350,21.4957,1.96398
5360,22.2324,1.97845
5370,22.7613,1.98856
5380,23.309,1.99878
5390,24.0457,2.01216
5400,24.5841,2.02169
5410,25.4341,2.03631
5420,26.2746,2.0503
5430,26.9263,2.06085
5440,27.2569,2.0661
5450,28.0974,2.07918
5460,28.9474,2.09202
5470,29.9958,2.10735
5480,30.6569,2.11674
5490,31.5069,2.12853
5500,32.5647,2.14276
5510,33.2258,2.15143
5520,34.2836,2.16495
5530,35.3319,2.17794
5540,36.3897,2.19067
5550,37.0508,2.19844
5560,38.1086,2.21059
5570,39.1569,2.2223
5580,40.4225,2.23603
5590,41.4803,2.24719
5600,42.7458,2.26017
5610,43.8036,2.27073
5620,44.6725,2.27921
5630,45.5225,2.28735
5640,46.5803,2.29728
5650,47.8459,2.30886
5660,48.7148,2.31664
5670,49.9803,2.32773
5680,51.2648,2.3387
5690,52.1337,2.34596
5700,53.3993,2.35633
5710,54.8726,2.3681
5720,55.7793,2.37519
5730,57.0448,2.38489
5740,58.3104,2.39438
5750,59.576,2.40367
5760,60.6338,2.41128
5770,61.8993,2.42022
5780,63.1649,2.42898
5790,64.0338,2.43489
5800,65.1293,2.44223
5810,66.6027,2.45191
5820,68.076,2.46138
5830,69.1716,2.46829
5840,70.6449,2.47741
5850,72.3261,2.48759
5860,73.4216,2.4941
5870,75.1027,2.5039
5880,77.0105,2.51476
5890,78.3139,2.52203
5900,80.0139,2.53133
5910,82.2806,2.54342
5920,83.8295,2.5515
5930,85.7184,2.56115
5940,87.1917,2.56853
5950,89.0806,2.57781
5960,90.6295,2.58528
5970,92.5184,2.59422
5980,93.9918,2.60106
5990,95.5029,2.60797
6000,97.6184,2.61746
6010,99.3562,2.62511
6020,101.245,2.63327
6030,103.134,2.64128
