serial_num,2020-30,2020-31,2020-32,2020-33,2020-34,2020-35,2020-36,2020-37,2020-38,2020-39,2020-40,2020-41,2020-42,2020-43,2020-44,2020-45,2020-46,2020-47,
20418699,,,,,,,,,,,V,V,V,V,,,,,
20680273,,,,,,,,V,V,V,V,V,V,V,,,,,
20680321,,,,,,V,V,V,,,V,V,,,,,,,
20921502,,,,,,,,V,V,V,V,,,,,,,,
20433808,,,,,,,,,,,,,V,V,V,,,,
20680265,,,,,,,,,,,,,,,,,,,
20433772,,,,,V,V,,,,,,,,,,,,,
20425164,,,,,,,,,,,,,,,,,,,
20680298,,,,,V,V,V,V,V,V,V,V,V,V,,,,,
20680304,,,,,V,V,V,V,V,V,V,V,V,,,,,,
20433779,,,,,,,,,,,,,,,,,,,
20680279,,,,,,,,,,,,,,,,,,,
20680271,,,,,V,V,V,V,V,V,V,V,V,V,,,,,
20680305,,,,,V,V,V,V,V,V,V,V,V,V,,,,,
20680300,,,,,,,V,V,V,V,V,V,,,,,,,
20433793,,,,,V,V,V,,,,,,,,,,,,
20433790,,,,,,,V,V,,,,,,,,,,,
20433815,,,,,,,,,,,,,,,,,,,
20418690,,,,,,,,,V,V,V,V,V,V,,,,,
20425162,,,,,,,,V,V,V,V,V,V,,,,,,
20680295,,,,,,,,,,,,,,,,,,,
20680284,,,,,V,V,V,V,V,V,V,V,V,V,V,,,,
20433810,,,,,,V,V,V,V,V,V,V,V,V,V,,,,
20680306,,,,,,,V,V,V,V,V,V,V,V,,,,,
20425153,,,,,,V,V,V,V,V,V,V,V,V,,,,,
20680313,,,,,,V,V,V,V,V,,,,,,,,,
20433773,,,,,,V,V,V,V,,,,,,,,,,
20680277,,,,,,,V,V,V,V,V,V,V,V,V,,,,
20680272,,,,,,V,V,V,V,V,V,V,V,V,,,,,
20680317,,,,,,,,,,,,,,,,,,,
20680290,,,,,,,V,V,,,,,,,,,,,
20433807,,,,,,,,,,,,,,,,,,,
20680275,,,,,,,,,,,,,,,,,,,
20680293,,,,,,,V,V,V,V,V,V,,,,,,,
20680325,,,,,,,V,V,V,V,V,V,V,V,,,,,
20680269,,,,,,V,V,V,,,V,V,,,,,,,
20680307,,,,,,,V,V,V,V,V,V,V,V,,,,,
20433804,,,,,V,V,,,V,V,,,,,,,,,
20921485,,,,,,,,,,V,V,V,V,V,V,,,,
20921476,,,,,,,,,V,V,V,,V,,,,,,
20921481,,,,,,,,,,,,,,,,,,,
20921474,,,,,,,,,V,V,V,V,V,V,,,,,
20921473,,,,,,,,,V,V,V,V,,,,,,,
20921489,,,,,,,,,,V,V,V,V,V,,,,,
20921482,,,,,,,,,,,,,,,,,,,
20921495,,,,,,,,,,,,,,,,,,,
20921496,,,,,,,,,,,,,,,,,,,
20921499,,,,,,,,,,,,,,,,,,,
20921498,,,,,,,,,,,,,,,,,,,
20921501,,,,,,,,,,,,,,,,,,,
20921500,,,,,,,,,,,,,,V,,,,,
20921497,,,,,,,,,,,,,,,,,,,
20921494,,,,,,,,,,,,,,,,,,,
20921493,,,,,,,,,,,,,,,,,,,
20937743,,,,,,,,,,,,V,V,V,,,,,
20937747,,,,,,,,,,,,V,V,,,,,,
20937742,,,,,,,,,,,,,V,V,,,,,
20937746,,,,,,,,,,,,,,,,,,,
20937737,,,,,,,,,,,,V,V,V,,,,,
20937744,,,,,,,,,,,,V,V,V,,,,,
20937745,,,,,,,,,,,,V,V,V,V,,,,
20680270,,,,,V,V,V,V,V,V,V,V,V,,,,,,
20418694,,,,,,,,V,V,V,V,,V,V,,,,,
20425143,,,,,,,,,,,,,,,,,,,
20680301,,,,,,V,V,V,V,V,V,V,V,V,,,,,
20433796,,,,,V,V,V,V,V,V,V,V,V,V,,,,,
20680297,,,,,,,,,,,,,,,,,,,
20680276,,,,,,V,V,V,V,V,V,V,V,,,,,,
